#k-distance eigenvalue[eV]
0.00000000 -19.83060000
0.01009415 -19.83060000
0.02018831 -19.83060000
0.03028246 -19.83060000
0.04037662 -19.83060000
0.05047077 -19.83060000
0.06056493 -19.83060000
0.07065908 -19.83060000
0.08075323 -19.83060000
0.09084739 -19.83060000
0.10094155 -19.83060000
0.11103570 -19.83050000
0.12112985 -19.83050000
0.13122401 -19.83050000
0.14131816 -19.83050000
0.15141231 -19.83050000
0.16150648 -19.83050000
0.17160063 -19.83040000
0.18169478 -19.83040000
0.19178893 -19.83040000
0.20188309 -19.83040000
0.21197724 -19.83030000
0.22207140 -19.83030000
0.23216556 -19.83030000
0.24225971 -19.83020000
0.25235386 -19.83020000
0.26244801 -19.83020000
0.27254217 -19.83010000
0.28263633 -19.83010000
0.29273048 -19.83010000
0.30282464 -19.83010000
0.31291879 -19.83000000
0.32301294 -19.83000000
0.33310709 -19.83000000
0.34320126 -19.83000000
0.35329541 -19.83000000
0.36338956 -19.82990000
0.37348372 -19.82990000
0.38357787 -19.82990000
0.39367202 -19.82990000
0.40376618 -19.82990000
0.41386034 -19.82980000
0.42395449 -19.82980000
0.43404864 -19.82980000
0.44414280 -19.82980000
0.45423695 -19.82980000
0.46433111 -19.82980000
0.47442526 -19.82980000
0.48451942 -19.82980000
0.49461357 -19.82980000
0.49461357 -19.82980000
0.50480911 -19.82980000
0.51500465 -19.82980000
0.52520019 -19.82980000
0.53539573 -19.82970000
0.54559127 -19.82970000
0.55578681 -19.82970000
0.56598235 -19.82970000
0.57617789 -19.82970000
0.58637342 -19.82970000
0.59656897 -19.82970000
0.60676451 -19.82960000
0.61696005 -19.82960000
0.62715559 -19.82960000
0.63735113 -19.82960000
0.64754666 -19.82950000
0.65774221 -19.82950000
0.66793775 -19.82950000
0.67813329 -19.82940000
0.68832883 -19.82940000
0.69852437 -19.82940000
0.70871990 -19.82940000
0.71891545 -19.82930000
0.72911099 -19.82930000
0.73930653 -19.82930000
0.74950207 -19.82930000
0.75969761 -19.82920000
0.76989314 -19.82920000
0.78008869 -19.82920000
0.79028423 -19.82920000
0.80047977 -19.82910000
0.81067531 -19.82910000
0.82087084 -19.82910000
0.83106638 -19.82900000
0.84126193 -19.82900000
0.85145747 -19.82900000
0.86165301 -19.82900000
0.87184855 -19.82890000
0.88204408 -19.82890000
0.89223962 -19.82890000
0.90243517 -19.82890000
0.91263071 -19.82890000
0.92282625 -19.82880000
0.93302179 -19.82880000
0.94321732 -19.82880000
0.95341286 -19.82880000
0.96360841 -19.82880000
0.97380395 -19.82880000
0.98399949 -19.82880000
0.99419503 -19.82880000
0.99419503 -19.82880000
1.00430920 -19.82880000
1.01442338 -19.82880000
1.02453755 -19.82880000
1.03465174 -19.82880000
1.04476591 -19.82880000
1.05488009 -19.82880000
1.06499427 -19.82880000
1.07510844 -19.82880000
1.08522262 -19.82870000
1.09533680 -19.82870000
1.10545098 -19.82870000
1.11556516 -19.82870000
1.12567933 -19.82870000
1.13579351 -19.82870000
1.14590768 -19.82870000
1.15602187 -19.82870000
1.16613604 -19.82870000
1.17625022 -19.82870000
1.18636440 -19.82860000
1.19647857 -19.82860000
1.20659275 -19.82860000
1.21670693 -19.82860000
1.22682111 -19.82850000
1.23693529 -19.82850000
1.24704946 -19.82850000
1.25716364 -19.82850000
1.26727781 -19.82850000
1.27739200 -19.82850000
1.28750617 -19.82840000
1.29762035 -19.82840000
1.30773453 -19.82840000
1.31784870 -19.82840000
1.32796288 -19.82830000
1.33807706 -19.82830000
1.34819124 -19.82830000
1.35830542 -19.82830000
1.36841959 -19.82830000
1.37853377 -19.82830000
1.38864794 -19.82830000
1.39876213 -19.82820000
1.40887630 -19.82820000
1.41899048 -19.82820000
1.42910466 -19.82820000
1.43921883 -19.82820000
1.44933301 -19.82820000
1.45944719 -19.82820000
1.46956137 -19.82820000
1.47967555 -19.82820000
1.48978972 -19.82820000
1.48978972 -19.82820000
1.49998526 -19.82820000
1.51018080 -19.82820000
1.52037634 -19.82820000
1.53057188 -19.82820000
1.54076742 -19.82820000
1.55096296 -19.82820000
1.56115850 -19.82830000
1.57135404 -19.82830000
1.58154958 -19.82830000
1.59174512 -19.82830000
1.60194066 -19.82830000
1.61213620 -19.82830000
1.62233174 -19.82840000
1.63252728 -19.82840000
1.64272281 -19.82840000
1.65291836 -19.82850000
1.66311390 -19.82850000
1.67330944 -19.82850000
1.68350498 -19.82850000
1.69370052 -19.82860000
1.70389605 -19.82860000
1.71409160 -19.82860000
1.72428714 -19.82870000
1.73448268 -19.82870000
1.74467822 -19.82870000
1.75487376 -19.82870000
1.76506929 -19.82870000
1.77526484 -19.82880000
1.78546038 -19.82880000
1.79565592 -19.82880000
1.80585146 -19.82880000
1.81604699 -19.82890000
1.82624253 -19.82890000
1.83643808 -19.82890000
1.84663362 -19.82890000
1.85682916 -19.82890000
1.86702470 -19.82890000
1.87722023 -19.82900000
1.88741577 -19.82900000
1.89761132 -19.82900000
1.90780686 -19.82900000
1.91800240 -19.82900000
1.92819794 -19.82910000
1.93839347 -19.82910000
1.94858901 -19.82910000
1.95878456 -19.82910000
1.96898010 -19.82910000
1.97917564 -19.82910000
1.98937118 -19.82910000
1.98937118 -19.82910000
1.99946533 -19.82910000
2.00955948 -19.82910000
2.01965363 -19.82910000
2.02974780 -19.82910000
2.03984195 -19.82910000
2.04993610 -19.82910000
2.06003026 -19.82910000
2.07012441 -19.82910000
2.08021856 -19.82920000
2.09031272 -19.82920000
2.10040688 -19.82920000
2.11050103 -19.82920000
2.12059518 -19.82920000
2.13068934 -19.82920000
2.14078349 -19.82920000
2.15087765 -19.82930000
2.16097180 -19.82930000
2.17106596 -19.82930000
2.18116011 -19.82940000
2.19125426 -19.82940000
2.20134842 -19.82940000
2.21144258 -19.82950000
2.22153673 -19.82950000
2.23163088 -19.82950000
2.24172504 -19.82950000
2.25181919 -19.82950000
2.26191334 -19.82960000
2.27200751 -19.82960000
2.28210166 -19.82960000
2.29219581 -19.82960000
2.30228996 -19.82970000
2.31238412 -19.82970000
2.32247827 -19.82970000
2.33257243 -19.82970000
2.34266659 -19.82980000
2.35276074 -19.82980000
2.36285489 -19.82980000
2.37294904 -19.82980000
2.38304320 -19.82980000
2.39313736 -19.82990000
2.40323151 -19.82990000
2.41332567 -19.82990000
2.42341982 -19.82990000
2.43351397 -19.82990000
2.44360812 -19.82990000
2.45370229 -19.82990000
2.46379644 -19.82990000
2.47389059 -19.82990000
2.48398475 -19.82990000
2.48398475 -19.82990000
2.49418028 -19.82990000
2.50437582 -19.82990000
2.51457136 -19.82990000
2.52476691 -19.82990000
2.53496245 -19.82990000
2.54515799 -19.82990000
2.55535352 -19.82990000
2.56554906 -19.82990000
2.57574460 -19.82980000
2.58594015 -19.82980000
2.59613569 -19.82980000
2.60633123 -19.82980000
2.61652676 -19.82970000
2.62672230 -19.82970000
2.63691784 -19.82970000
2.64711339 -19.82970000
2.65730893 -19.82960000
2.66750446 -19.82960000
2.67770000 -19.82960000
2.68789554 -19.82950000
2.69809108 -19.82950000
2.70828663 -19.82950000
2.71848217 -19.82940000
2.72867770 -19.82940000
2.73887324 -19.82940000
2.74906878 -19.82940000
2.75926432 -19.82930000
2.76945987 -19.82930000
2.77965541 -19.82930000
2.78985094 -19.82920000
2.80004648 -19.82920000
2.81024202 -19.82920000
2.82043756 -19.82910000
2.83063311 -19.82910000
2.84082864 -19.82910000
2.85102418 -19.82910000
2.86121972 -19.82900000
2.87141526 -19.82900000
2.88161080 -19.82900000
2.89180635 -19.82900000
2.90200188 -19.82900000
2.91219742 -19.82900000
2.92239296 -19.82890000
2.93258850 -19.82890000
2.94278404 -19.82890000
2.95297959 -19.82890000
2.96317512 -19.82890000
2.97337066 -19.82890000
2.98356620 -19.82890000
2.98356620 -19.82890000
2.99368038 -19.82890000
3.00379455 -19.82890000
