2D Materials	2D Mater.
3 Biotech	3 Biotech
3D Printing and Additive Manufacturing	3D Print. Addit. Manuf.
3D Printing in Medicine	3D Print. Med.
AAPG Bulletin	AAPG Bull.
AAPG Memoir	AAPG Mem.
AAPS Journal	AAPS J.
AAPS Open	AAPS Open
AATCC Journal of Research	AATCC J. Res.
AATCC Review	AATCC Rev.
ABB Review	ABB Rev.
Abhandlungen aus dem Mathematischen Seminar der Universit?t Hamburg	Abh. Math. Semin. Univ. Hamburg
Abhandlungen der Akademie der Wissenschaften der DDR	Abh. Akad. Wiss. DDR
"Abhandlungen der Akademie der Wissenschaften der DDR, Abteilung Mathematik, Naturwissenschaften, Technik"	"Abh. Akad. Wiss. DDR, Abt. Math., Naturwiss., Tech."
Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft	Abh. Senckb. Naturforsch. Ges.
ACA Transactions	ACA Trans.
Academic Forensic Pathology	Acad. Forensic Pathol.
Academic Radiology	Acad. Radiol.
Access Microbiology	Access Microbiol.
Accident Analysis and Prevention	Accid. Anal. Prev.
Accounts of Chemical Research	Acc. Chem. Res.
Accounts of Materials Research	Acc. Mater. Res.
Accreditation and Quality Assurance	Accredit. Qual. Assur.
ACH - Models in Chemistry	ACH - Models Chem.
Achievements in the Life Sciences	Achiev. Life Sci.
ACI Materials Journal	ACI Mater. J.
ACI Structural Journal	ACI Struct. J.
ACM Computing Surveys	ACM Comput. Surv.
ACM Digital Threats: Research and Practice	ACM Digital Threats: Res. Pract.
ACM Inroads	ACM Inroads
ACM Journal of Data and Information Quality	ACM J. Data Inf. Qual.
ACM Journal of Experimental Algorithmics	ACM J. Exp. Algorithmics
ACM Journal on Computing and Cultural Heritage	ACM J. Comput. Cult. Heritage
ACM Journal on Emerging Technologies in Computing	ACM J. Emerging Technol. Comput.
ACM Journal on Emerging Technologies in Computing Systems	ACM J. Emerging Technol. Comput. Syst.
ACM Journal on Responsible Computing	ACM J. Responsible Comput.
ACM Queue	ACM Queue
ACM Transactions on Accessible Computing	ACM Trans. Accessible Comput.
ACM Transactions on Algorithms	ACM Trans. Algorithms
ACM Transactions on Applied Perception	ACM Trans. Appl. Percept.
ACM Transactions on Architecture and Code Optimization	ACM Trans. Archit. Code Optim.
ACM Transactions on Asian and Low-Resource Language Information Processing	ACM Trans. Asian Low-Resour. Lang. Inf. Process.
ACM Transactions on Asian Language Information Processing	ACM Trans. Asian Lang. Inf. Process.
